,ID,LONG,LAT,ages,race,sex,income,Location,Price_cont,Experience,Other,will_attend,dist,Price_cat,Location_1,Location_2,Location_3,Location_4,Location_5,Price_cat_1,Price_cat_2,Price_cat_3,Price_cat_4,Experience_1,Experience_2,Experience_3,Other_1,Other_2,Other_3,Other_4,race_Aisian/Other,race_Black,race_Hispanic,race_White,sex_F,sex_M,income_100-150k,income_25-50k,income_50-75k,income_75-100k,income_<25k,income_>150k
12,4008,-78.63387386956009,35.7691424943635,48.25875890568621,Black,M,25-50k,1,20,1,4,0,0.27392779826361496,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
13,4399,-78.61769641261229,35.8495668429689,37.2333061296838,Black,F,75-100k,4,30,1,1,0,0.44013292240490703,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
14,5039,-78.72228099676721,35.696451815851496,45.64728464424271,White,M,50-75k,4,15,2,3,0,0.39225220138083483,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
15,5041,-78.66216873386341,35.7575622027776,27.8827009330795,White,F,50-75k,5,20,1,3,0,0.13927025348445207,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
16,5285,-78.615364527098,35.8335674812062,58.921126995764396,Black,F,100-150k,2,30,2,2,0,0.27474973338781616,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
17,5586,-78.5911030755636,35.916812201953505,36.8519742548197,White,M,25-50k,1,25,2,2,0,0.28800143835881875,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
18,5799,-78.56558910951179,35.695119398018896,41.8399798102316,White,M,50-75k,2,20,3,3,1,0.3144802758759785,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
19,6039,-78.699608009529,35.892731570813496,42.389449328718904,White,F,50-75k,5,15,1,2,0,0.12628464414678106,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
20,6112,-78.5493692599415,35.808365042377204,43.368440669746796,White,M,50-75k,5,15,1,2,0,0.06435490476846512,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
21,6231,-78.69097382326879,35.845097484545704,38.49853452174129,White,F,>150k,3,25,1,3,0,0.07411652658771763,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
22,6738,-78.61477336907859,35.836045976139204,51.5564091706557,White,M,75-100k,1,30,3,3,0,0.26947438210503777,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
23,6742,-78.62795131606879,35.6856377526946,45.8919960309455,Black,M,25-50k,1,25,2,2,0,0.32503316220094136,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
24,6897,-78.6618388166652,35.9075872291482,38.898724330301,White,M,25-50k,5,30,2,4,0,0.09498492738732207,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
25,7036,-78.54183438144871,35.798043509454395,34.167387106551,White,M,25-50k,4,25,1,4,0,0.5235601158278149,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
26,7392,-78.5223468323522,35.8486752428511,29.507724100881198,White,M,25-50k,1,20,1,4,0,0.35855094060651066,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
27,7446,-78.5496848717645,35.9148666278201,53.33517304502979,Hispanic,F,75-100k,2,15,1,1,0,0.3671848482226996,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
28,7740,-78.66796846880429,35.8689900266998,43.3152935156019,White,F,<25k,5,20,1,3,0,0.09200986591351117,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
29,8109,-78.62401870432541,35.7618191505405,39.3227899677863,Black,F,75-100k,2,20,3,3,1,0.25234020182761596,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
30,8159,-78.6335818284347,35.750027217734896,36.40126421648829,Black,M,100-150k,3,20,2,1,0,0.048434965577727376,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
31,8758,-78.60746808573491,35.720036787946206,50.9411796533628,White,M,<25k,3,25,1,3,0,0.0866766134365834,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
32,9062,-78.6427270215673,35.6542886398516,37.205591211700295,White,M,75-100k,1,30,3,3,0,0.33535732361129245,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
33,9691,-78.7029768276642,35.8056691729255,34.0963205676123,White,F,75-100k,4,20,3,2,0,0.36517144765090287,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
34,9780,-78.6452074847574,35.7407502806239,32.3952144315984,White,M,>150k,4,30,1,1,0,0.44094601749601603,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
35,10371,-78.6426357396587,35.7407571131111,36.0154541540094,White,F,75-100k,2,20,3,3,0,0.23330963816727554,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
36,10374,-78.6593604079345,35.812573675154795,43.13426092733789,Black,F,75-100k,4,25,1,4,0,0.4056709635270539,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
37,10517,-78.6350983524904,35.8001142251475,51.4671823396355,White,F,75-100k,2,20,3,3,0,0.2467264184773612,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
38,11392,-78.7206097949404,35.9996537190772,29.5776980717725,White,F,>150k,3,15,3,4,1,0.23148736393269845,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
39,11518,-78.684969765947,35.8962214006114,33.796487075415,White,M,25-50k,1,25,2,2,0,0.19318481060667334,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
40,11639,-78.7766254279775,35.592003825475295,45.3179638764656,White,M,75-100k,1,15,2,1,0,0.3177832181674233,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
41,11791,-78.5693205509462,35.76792077709511,35.0093142518452,White,F,75-100k,3,30,1,2,0,0.10731297075951408,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
42,12202,-78.62512528845079,35.7230162424114,51.90417364947329,White,F,75-100k,1,20,1,4,0,0.30488272657230897,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
43,12212,-78.6242780309242,35.8651038801991,48.4792476822747,Black,F,75-100k,3,20,2,1,0,0.10642049997838576,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
44,12303,-78.5928964365856,35.703989255073104,33.2296148702534,White,M,50-75k,3,15,3,4,0,0.10805681710151814,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
45,12345,-78.68518919527821,35.668529852565705,40.0333716314165,White,F,75-100k,5,15,1,2,0,0.22649713756849163,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
46,12604,-78.733234228829,35.7583697825645,39.0040280156944,Black,F,50-75k,1,25,2,2,0,0.19788328886201959,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
47,12612,-78.5576288345106,35.7660970534416,42.9584179188461,Hispanic,M,50-75k,3,30,1,2,0,0.11907809375937856,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
48,12683,-78.5503848333883,35.7156493488826,38.5721649135739,White,M,50-75k,5,30,2,4,0,0.1534603430427048,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
49,13094,-78.6555373955,35.8412372642571,28.838868498491202,Hispanic,F,75-100k,1,15,2,1,0,0.22856369255786865,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
50,13128,-78.5573814051844,35.6900018797865,53.5233778712148,White,M,50-75k,3,20,2,1,0,0.14487312011945733,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
51,13474,-78.7614712999535,35.7384165662361,28.019281813143,Black,F,50-75k,3,25,1,3,0,0.09147786334505252,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
52,13674,-78.5884015760887,35.80912486131739,51.265858227745,White,F,75-100k,5,15,1,2,0,0.0591538162489238,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
53,14044,-78.674341298709,35.8203603239948,22.7999686434771,White,M,<25k,1,30,3,3,0,0.21639481512572412,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
54,14391,-78.5282264383859,35.8314390101997,59.50905068489221,White,M,50-75k,1,15,2,1,0,0.3553020047404294,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
55,14555,-78.67371003834721,35.7727215876746,40.5214375311156,White,F,25-50k,3,25,1,3,0,0.0028481751330874726,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
56,14682,-78.6624341754076,35.8090111478785,49.1473120623724,Hispanic,F,25-50k,1,15,2,1,0,0.23152181863893015,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
57,14699,-78.61339874832859,35.810693370546495,41.8603445842423,White,M,100-150k,4,25,1,4,0,0.4509281046628721,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
58,14714,-78.6658681162665,35.730070469000395,53.306708478513094,White,F,50-75k,4,25,1,4,0,0.4261299161204893,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
59,15077,-78.7249676010725,35.6330026884644,36.695074704891894,White,M,25-50k,1,20,1,4,0,0.30187769261440073,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
60,15177,-78.6602557471626,35.7762118586082,47.611064587287906,Hispanic,M,25-50k,1,25,2,2,0,0.24726783110384312,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
61,15439,-78.5887283792813,35.7273524294414,43.56298562908171,White,M,75-100k,1,30,3,3,0,0.33352483659590987,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
62,15574,-78.5927513053647,35.7824347254023,37.4962684893322,White,M,100-150k,5,30,2,4,1,0.08617287965388115,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
63,15638,-78.5268068021877,35.813395276207,43.161774414124004,White,M,25-50k,5,25,3,1,0,0.07271369448393476,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
64,16014,-78.64471941575209,35.7039467400616,44.261348179443296,White,M,50-75k,1,30,3,3,1,0.3004573021996097,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
65,16462,-78.57595902646409,35.798584202151496,41.6414858099325,White,F,50-75k,1,20,1,4,0,0.31661979747704694,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
66,16609,-78.54506764481741,35.7609740189711,42.6606780404256,White,M,75-100k,3,30,1,2,0,0.13196792496561874,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
67,16785,-78.66196598732391,35.5865334669384,38.7235911782874,White,M,75-100k,4,15,2,3,0,0.5055237544324085,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
68,16856,-78.56297906635,35.6461453254091,59.2113502700703,Black,M,50-75k,4,30,1,1,0,0.5554850769688995,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
69,17250,-78.645485495554,35.703074789411104,49.6896535318555,White,M,100-150k,4,15,2,3,0,0.4561010937106355,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
70,17394,-78.5971815728136,35.6056981995719,47.20417124115129,White,F,<25k,5,30,2,4,0,0.26212056891926266,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
71,17770,-78.6614597629457,35.6708405855511,51.3362950201758,Hispanic,F,100-150k,4,20,3,2,0,0.45749579681628766,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
72,18137,-78.5427440453975,35.8268238114348,36.6042347828175,Black,M,25-50k,4,30,1,1,0,0.5175281587910708,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
73,18178,-78.6015632095919,35.7785118234674,38.5513519667116,Hispanic,F,25-50k,1,30,3,3,1,0.29938070814904955,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
74,18311,-78.59848295971459,35.7742963943095,38.4327450716014,White,F,75-100k,2,15,1,1,0,0.27880824290040207,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
75,18974,-78.6279460754008,35.900448842821795,45.3948622114859,White,F,100-150k,5,25,3,1,0,0.061821288040236975,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
76,19001,-78.6747574793871,35.696945099275105,46.9439180339728,White,M,100-150k,3,15,3,4,0,0.07547595261498082,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
77,19205,-78.79237297473409,35.8226840092576,34.2929063947294,White,F,25-50k,1,25,2,2,0,0.11098790030427083,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
78,19548,-78.59936965695249,35.664967031205,36.3670456893428,White,F,100-150k,4,15,2,3,0,0.5145166585236135,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
79,19927,-78.6389648857591,35.8100883934031,46.6232064276579,Aisian/Other,F,75-100k,1,20,1,4,0,0.2531748826961154,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
80,19987,-78.6100093585387,35.6634972436566,38.5815383093115,White,M,25-50k,1,20,1,4,0,0.3530219170513514,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
81,20021,-78.5951228471103,35.6714607781148,43.8659150434335,Black,F,25-50k,1,25,2,2,0,0.3594923170282789,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
82,20025,-78.59760120502959,35.7887557589251,33.8742812516024,White,F,75-100k,4,15,2,3,0,0.47132763427096247,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
83,20710,-78.5854049134461,35.8217497868694,42.474696000455,Hispanic,F,50-75k,3,15,3,4,1,0.10363882219150732,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
84,20999,-78.69431534687979,35.7468740051943,35.3398587154375,White,F,75-100k,2,30,2,2,0,0.1815656247884802,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
85,21135,-78.5657057056221,35.8093975419477,37.2712727404408,White,F,25-50k,2,15,1,1,0,0.31653106797650904,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
86,21225,-78.625843629066,35.674962667188,45.1293533944099,White,M,>150k,1,20,1,4,0,0.333541244094353,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
87,21649,-78.66247235530541,35.6904316619255,48.026021461274205,White,M,100-150k,4,30,1,1,0,0.44688155307847466,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
88,22382,-78.731658017657,35.758870516959206,44.6659866399291,White,M,50-75k,2,15,1,1,0,0.14477051256469362,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
89,22388,-78.6694859132153,35.7773322823339,43.0147992128759,Black,M,50-75k,3,30,1,2,0,0.008607412467606141,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
90,22802,-78.6691339229894,35.7429083367969,42.3413307313935,White,F,50-75k,4,25,1,4,0,0.41800095045447655,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
91,22809,-78.6238854269977,35.844509876110294,26.564078071135803,White,M,100-150k,5,25,3,1,0,0.05290408480109478,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
92,22890,-78.56363141984299,35.815285765966294,38.8036447585053,White,M,100-150k,3,25,1,3,0,0.12077887396224649,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
93,23034,-78.5731216383583,35.827873232994,34.4897335222145,Black,M,100-150k,4,25,1,4,0,0.4873561514985014,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
94,23876,-78.5104894687193,35.9434839696276,39.699037748184296,Black,M,25-50k,5,30,2,4,0,0.1007226816415093,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
95,24747,-78.5935009340112,35.8001514905099,36.2149952585524,Hispanic,M,50-75k,2,30,2,2,0,0.28747186714261375,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
96,24837,-78.59466463670991,35.765355211842106,45.611882139482496,Hispanic,M,50-75k,1,15,2,1,0,0.3109365920404701,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
97,24966,-78.58441648667329,35.7292139087244,31.8077903767551,White,M,25-50k,1,30,3,3,0,0.33636199445183507,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
98,26020,-78.6257231941675,35.8156340297177,43.860725326972705,White,F,75-100k,1,20,1,4,0,0.2640385787341747,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
99,26056,-78.6904980285013,35.7780779971573,52.079041829535505,White,F,75-100k,2,30,2,2,0,0.18808930852113914,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
100,26136,-78.5444804356268,35.679134020889,53.790659228288604,White,F,50-75k,3,15,3,4,0,0.16167334784055792,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
101,26223,-78.55969791035409,35.70874552943471,40.8732871580798,Black,M,75-100k,4,15,2,3,0,0.5322262312633415,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
102,26253,-78.73905839684629,35.7527914193493,55.6612548119479,White,F,75-100k,2,20,3,3,0,0.13697645663212585,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
103,26448,-78.5048961066301,35.737705806487604,42.1652548044508,White,M,50-75k,2,30,2,2,0,0.37108296368100013,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
104,26457,-78.6176319052555,35.6679880353044,49.704056229281996,White,M,25-50k,1,20,1,4,0,0.3443147754189597,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
105,26863,-78.6279773902147,35.6965069978951,42.0868472485391,White,F,75-100k,4,15,2,3,0,0.4747097161823773,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
106,26956,-78.6091964936665,35.8610116954468,43.0039989339991,White,F,100-150k,5,25,3,1,0,0.0337439082882697,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
107,27195,-78.5572158718185,35.887344530574396,43.8385016160427,White,F,<25k,5,25,3,1,0,0.027706662058187725,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
108,27312,-78.56505020694321,35.6690237997307,39.4988975119495,Black,F,50-75k,3,20,2,1,0,0.15204148360879488,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
109,27481,-78.79672236293679,35.800757562529,51.4484457937746,White,F,50-75k,1,15,2,1,0,0.12313292867993775,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
110,27910,-78.579631127087,35.9853834601214,39.1121089315514,Black,M,25-50k,3,30,1,2,0,0.23399419636938207,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
111,27959,-78.65970099471909,35.7739736540984,32.6971547835564,White,M,25-50k,1,30,3,3,0,0.24882091620992944,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
112,28058,-78.7253696842005,35.8146585161456,51.5096460754347,White,F,<25k,2,15,1,1,0,0.16531478044124623,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
113,28158,-78.6255534493553,35.7562335215835,52.3766308714473,White,M,100-150k,2,30,2,2,0,0.2505243591940457,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
114,28620,-78.615313779532,35.7749082023682,41.9338406106316,White,F,75-100k,1,25,2,2,0,0.2881859186572613,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
115,28636,-78.6408276972268,35.9155514277713,56.603326970546505,Black,F,25-50k,3,25,1,3,0,0.14753880791956747,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
